Name,License_No,Area,Police_Station,Address,Gun_Type,Weapon_Model,Issue_Date,Expiry_Date,Status,Mobile,Gender,DOB,Remarks
Pihu Garg,MP-BPL-2022-923975,Berasia,Berasia Police Station,"47/435, Cheema Path, Arera Colony, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2023-05-26,2033-05-26,Active,5020970026,Female,1992-05-25,
Tarini Hegde,MP-BPL-2015-891062,Chhola Road,Chhola Road Police Station,"11/80, Samra Chowk, Ayodhya Nagar, Bhopal, Madhya Pradesh",Pistol,9mm Pistol,2017-09-03,2027-09-03,Active,06956201753,Male,1984-10-30,
Madhup Sharaf,MP-BPL-2024-160423,Chhola Road,Chhola Road Police Station,"H.No. 453, Tandon Zila, Indrapuri, Bhopal, Madhya Pradesh",Double Barrel,.38 Revolver,2020-09-24,2030-09-24,Active,3375047930,Female,1967-12-02,
Faiyaz Virk,MP-BPL-2017-367382,Jahangirabad,Jahangirabad Police Station,"H.No. 98, Chada Chowk, Arera Colony, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2018-11-15,2028-11-15,Expired,9992192124,Male,1993-05-11,Due to order
Elakshi Sethi,MP-BPL-2016-154040,Bairagarh,Bairagarh Police Station,"H.No. 30, Rana Circle, Piplani, Bhopal, Madhya Pradesh",Air Gun,.38 Revolver,2019-11-17,2029-11-17,Active,8706056641,Male,1989-11-05,
Bhamini Golla,MP-BPL-2016-943737,Bagsewaniya,Bagsewaniya Police Station,"03/04, Lata Marg, Chhola Road, Bhopal, Madhya Pradesh",Pistol,.22 Rifle,2023-03-19,2033-03-19,Active,00635190361,Female,1971-08-03,
Ivan Gala,MP-BPL-2019-116078,Jahangirabad,Jahangirabad Police Station,"H.No. 11, Khatri Nagar, Jahangirabad, Bhopal, Madhya Pradesh",Revolver,.22 Rifle,2022-12-04,2032-12-04,Expired,+919543173505,Male,1989-12-09,Due to festival
Devansh Soni,MP-BPL-2017-678897,Arera Colony,Arera Colony Police Station,"97/17, Bhatia, Govindpura, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2017-01-11,2027-01-11,Active,+910651207049,Female,1997-03-09,
Chirag Behl,MP-BPL-2019-374267,Habibganj,Habibganj Police Station,"08/046, Bava Marg, Berasia, Bhopal, Madhya Pradesh",Double Barrel,.22 Rifle,2022-07-27,2032-07-27,Active,+919907676991,Female,1977-09-08,
Amani Kuruvilla,MP-BPL-2020-312994,Habibganj,Habibganj Police Station,"H.No. 93, Behl Zila, Arera Colony, Bhopal, Madhya Pradesh",Double Barrel,.32 Bore Pistol,2015-10-14,2025-10-14,Active,1939284567,Male,1996-10-28,
Kabir Dara,MP-BPL-2014-117007,Bairagarh,Bairagarh Police Station,"002, Master Road, Chhola Road, Bhopal, Madhya Pradesh",Air Gun,.38 Revolver,2022-12-28,2032-12-28,Submitted,5498227495,Female,1974-05-20,Due to election
